Label	Weight	Text
l_OnAssistant-prenotazione	1,086957	voglio rimuovere una prenotazione
l_OnAssistant-prenotazione	1,086957	gestire i miei appuntamenti
l_OnAssistant-prenotazione	1,086957	vedere appuntamenti
l_OnAssistant-prenotazione	1,086957	come posso prenotare gli appuntamenti?
l_OnAssistant-prenotazione	1,086957	prenota un appuntamento
l_OnAssistant-prenotazione	1,086957	prenota una prenotazione
l_OnAssistant-prenotazione	1,086957	salve vorrei prenotare un appuntamento
l_OnAssistant-prenotazione	1,086957	prenota un nuovo appuntamento
l_OnAssistant-prenotazione	1,086957	gestire le mie prenotazioni
l_OnAssistant-prenotazione	1,086957	prenotami un appuntamento
l_OnAssistant-prenotazione	1,086957	appuntamento
l_OnAssistant-prenotazione	1,086957	posso cancellare un appuntamento?
l_OnAssistant-prenotazione	1,086957	prenota appuntamento
l_OnAssistant-prenotazione	1,086957	vorrei modificare
l_OnAssistant-prenotazione	1,086957	eseguire una nuova prenotazione
l_OnAssistant-prenotazione	1,086957	è possibile fermare una prenotazione?
l_OnAssistant-prenotazione	1,086957	prenotare un nuovo appuntamento
l_OnAssistant-prenotazione	1,086957	prenota una nuova prenotazione
l_OnAssistant-prenotazione	1,086957	gestire appuntamenti
l_OnAssistant-prenotazione	1,086957	vorrei gestire le mie prenotazioni grazie
l_OnAssistant-prenotazione	1,086957	cambiare un appuntamento
l_OnAssistant-prenotazione	1,086957	cancella un appuntamento
l_OnAssistant-prenotazione	1,086957	vorrei rimandare un appuntamento grazie
l_OnAssistant-refertazione	2,272727	fammi vedere i miei referti perfavore
l_OnAssistant-refertazione	2,272727	visualizzare i miei referti
l_OnAssistant-refertazione	2,272727	mostrare i referti
l_OnAssistant-refertazione	2,272727	vorrei vedere i miei referti
l_OnAssistant-refertazione	2,272727	come posso vedere i referti medici?
l_OnAssistant-refertazione	2,272727	fammi vedere i miei referti perfavore
l_OnAssistant-refertazione	2,272727	visualizzare i miei referti
l_OnAssistant-refertazione	2,272727	mostrare i referti
l_OnAssistant-refertazione	2,272727	fammi vedere i miei referti perfavore
l_OnAssistant-refertazione	2,272727	visualizzare i miei referti
l_OnAssistant-refertazione	2,272727	mostrare i referti
None	1	è possibile prenotare una camera per un albergo?
None	1	consigliami una canzone
None	1	com'è il tempo oggi
None	1	canzone
None	1	prenotami un volo
None	1	film
None	2	risultato partite di calcio
None	1	che ore sono?
None	1	pasta
None	1	tempo
None	1	hotel
None	2	quanti anni hai?
None	2	riservare una camera
None	1	vorrei prenotare un hotel
None	1	vorrei ordinare una pizza
None	1	quali film ci sono al cinema?
None	2	raccontami una barzelletta
None	1	albergo
None	2	ordinare del cibo
None	1	voglio un piatto di pasta
